曾毅	zeng yi
长的	chang de
最长	zui chang
所长	suo chang
穿着	chuan zhuo
反弹	fan tan
还得	hai dei
较长	jiao chang
很长	hen chang
就得	jiu dei
就行	jiu xing
先得	xian dei
也得	ye dei
多长	duo chang
也行	ye xing
而行	er xing
得见	dei jian
重生	chong sheng
得有	dei you
重打	chong da
都得	dou dei
更长	geng chang
太长	tai chang
得快	dei kuai
行吗	xing ma
此行	ci xing
你得	ni dei
调拨	diao bo
他得	ta dei
好长	hao chang
行啊	xing a
调出	diao chu
孟山都	meng shan du
得人	dei ren
行了	xing le
能行	neng xing
重装	chong zhuang
都行	dou xing
鼻塞	bi se
重写	chong xie
重发	chong fa
长腿	chang tui
这得	zhe dei
变长	bian chang
重设	chong she
重读	chong du
厚薄	hou bo
行吧	xing ba
重放	chong fang
调到	diao dao
稍长	shao chang
露头	lou tou
调档	diao dang
传略	zhuan lue
藏袍	zang pao
烧着	shao zhao
壮行	zhuang xing
新传	xin zhuan
得空	dei kong
够长	gou chang
小曾	xiao zeng
行啦	xing la
没顶	mo ding
长了	chang le
露出	lou chu
增长	zeng chang
同行	tong xing
着了	zhao le
私了	si liao
成行	cheng xing
调至	diao zhi
行不	xing bu
总长	zong chang
胶着	jiao zhuo
多行	duo xing
总觉	zong jue
再长	zai chang
长脸	chang lian
弹起	tan qi
后传	hou zhuan
又得	you dei
重做	chong zuo
公了	gong liao
重名	chong ming
叔伯	shu bai
欲行	yu xing
真长	zhen chang
所恶	suo wu
填塞	tian se
老朴	lao piao
极长	ji chang
重会	chong hui
长声	chang sheng
只觉	zhi jue
长刀	chang dao
薄面	bo mian
长嚎	chang hao
瘠薄	ji bo
说客	shui ke
长考	chang kao
字长	zi chang
中的	zhong di
地说	de shuo
抄没	chao mo
码长	ma chang
我得	wo dei
姓曾	xing zeng
姓卜	xing bu
姓单	xing shan
姓朴	xing piao
薄葬	bo zang
见长	jian chang
吓着	xia zhao
陷没	xian mo
长在	chang zai
词长	ci chang
露着	lou zhe
攒机	cuan ji
可得	ke dei
咯血	ka xue
老曾	lao zeng
小朴	xiao piao
验血	yan xie
不得了	bu de liao
长时间	chang shi jian
神州行	shen zhou xing
这么长	zhe me chang
任我行	ren wo xing
长头发	chang tou fa
相当长	xiang dang chang
完整地	wan zheng de
长时期	chang shi qi
行道树	xing dao shu
曾志伟	zeng zhi wei
角斗士	jue dou shi
算得了	suan de liao
长尾巴	chang wei ba
丽人行	li ren xing
查良镛	zha liang yong
肯定地	ken ding de
间接地	jian jie de
调皮地	tiao pi de
直接地	zhi jie de
衷心地	zhong xin de
弹吉他	tan ji ta
稳定地	wen ding de
惊异地	jing yi de
粗略地	cu lue de
固定地	gu ding de
发重了	fa chong le
纪传体	ji zhuan ti
坚定地	jian ding de
懊恼地	ao nao de
耐心地	nai xin de
一滴血	yi di xie
安全地	an quan de
曾宝仪	zeng bao yi
南水北调	nan shui bei diao
藏南	zang nan
藏喜马拉雅	zang xi ma la ya
藏医	zang yi
藏胞	zang bao
汉藏	han zang
新藏	xin zang
蒙藏	meng zang
藏缅	zang mian
藏原羚	zang yuan ling
简单易行	jian dan yi xing
长盛不衰	chang sheng bu shuai
波罗的海	bo luo di hai
势单力薄	shi dan li bo
长此下去	chang ci xia qu
那怎么行	na zen me xing
重归于好	chong gui yu hao
小事化了	xiao shi hua liao
朝九晚五	zhao jiu wan wu
时间一长	shi jian yi chang
吴王夫差	wu wang fu chai
一死了之	yi si liao zhi
山重水复	shan chong shui fu
扬长补短	yang chang bu duan
很容易地	hen rong yi de
以短击长	yi duan ji chang
西村寿行	xi cun shou xing
朝歌暮舞	zhao ge mu wu
三国群英传	san guo qun ying zhuan
偏向虎山行	pian xiang hu shan xing
仙剑奇侠传	xian jian qi xia zhuan
莫向虎山行	mo xiang hu shan xing
低声下气地	di sheng xia qi de
一石两鸟	yi shi liang niao
长难句	chang nan ju
独乐乐不如众乐乐	du le le bu ru zhong le le
鼻粘膜	bi nian mo
